"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה     CFU/100 ml,שם נקודה,אתר,,
NS00001908,2022-08-15 17:37:25,קוליפורם צואתי,1500,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-08-29 12:58:10,E.coli MUG,1200,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-08-29 12:58:10,קוליפורם צואתי,1600,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-09-05 14:34:52,E.coli MUG,1600,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-09-05 14:34:52,קוליפורם צואתי,1600,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-09-19 12:22:11,E.coli MUG,2400,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-09-19 12:22:11,קוליפורם צואתי,2400,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-10-02 13:26:47,E.coli MUG,3200,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-10-02 13:26:47,קוליפורם צואתי,3200,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-10-18 13:05:27,E.coli MUG,2100,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-10-18 13:05:27,קוליפורם צואתי,2100,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-10-30 14:27:18,E.coli MUG,6000,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-10-30 14:27:18,קוליפורם צואתי,6000,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-11-02 12:21:31,E.coli MUG,1500,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-11-02 12:21:31,קוליפורם צואתי,1500,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-11-21 15:48:05,E.coli MUG,1950,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-11-21 15:48:05,קוליפורם צואתי,1950,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-12-18 13:53:50,E.coli MUG,570,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2022-12-18 13:53:50,קוליפורם צואתי,570,ירדן גשר להבות הבשן,ירדן,,
NS00002041,2022-11-21 15:48:05,E.coli MUG,1700,נוחיילה,סקר ,,
NS00002041,2022-11-21 15:48:05,סטרפטוקוק/אנטרוקוק ממוצא צואתי,270,נוחיילה,סקר ,,
NS00002041,2022-11-21 15:48:05,קוליפורם צואתי,1700,נוחיילה,סקר ,,
NS00002041,2022-12-11 14:11:20,E.coli MUG,450,נוחיילה,סקר ,,
NS00002041,2022-12-11 14:11:20,סטרפטוקוק/אנטרוקוק ממוצא צואתי,170,נוחיילה,סקר ,,
NS00002041,2022-12-11 14:11:20,קוליפורם צואתי,520,נוחיילה,סקר ,,
NS00002041,2022-12-18 13:53:50,E.coli MUG,950,נוחיילה,סקר ,,
NS00002041,2022-12-18 13:53:50,סטרפטוקוק/אנטרוקוק ממוצא צואתי,50,נוחיילה,סקר ,,
NS00002041,2022-12-18 13:53:50,קוליפורם צואתי,950,נוחיילה,סקר ,,
NS00002041,2022-12-25 12:14:19,E.coli MUG,400,נוחיילה,סקר ,,
NS00002041,2022-12-25 12:14:19,סטרפטוקוק/אנטרוקוק ממוצא צואתי,200,נוחיילה,סקר ,,
NS00002041,2022-12-25 12:14:19,קוליפורם צואתי,480,נוחיילה,סקר ,,
NS00000705,2022-03-29 13:56:09,E.coli MUG,250,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-03-29 13:56:09,קוליפורם צואתי,290,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-04-11 14:46:04,E.coli MUG,210,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-04-11 14:46:04,קוליפורם צואתי,320,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-04-25 07:56:47,E.coli MUG,100,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-04-25 07:56:47,קוליפורם צואתי,170,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-05-10 14:35:55,E.coli MUG,110,בניאס גשר כפר סאלד,בניאס,,
