"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,
קוד נקודה,תאריך דיגום,אנליט,תוצאה CFU/100 ml,שם נקודה,אתר,,
NS00000706,2019-05-07 15:26:44,קוליפורם צואתי,600,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-05-20 15:42:40,E.coli MUG,80,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-05-20 15:42:40,קוליפורם צואתי,90,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-06-02 15:55:39,E.coli MUG,120,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-06-02 15:55:39,קוליפורם צואתי,120,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-06-16 00:00:00,E.coli MUG,140,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-06-16 00:00:00,קוליפורם צואתי,140,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-07-02 15:07:23,E.coli MUG,150,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-07-02 15:07:23,קוליפורם צואתי,170,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-07-15 16:41:00,E.coli MUG,350,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-07-15 16:41:00,קוליפורם צואתי,500,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-08-05 15:52:40,E.coli MUG,250,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-08-05 15:52:40,קוליפורם צואתי,450,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-08-19 00:00:00,E.coli MUG,110,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-08-19 00:00:00,קוליפורם צואתי,350,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-09-02 14:45:03,E.coli MUG,300,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-09-02 14:45:03,קוליפורם צואתי,530,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-09-18 16:44:05,E.coli MUG,260,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-09-18 16:44:05,קוליפורם צואתי,430,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-09-24 17:02:13,E.coli MUG,200,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-09-24 17:02:13,קוליפורם צואתי,270,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-10-02 17:19:52,E.coli MUG,160,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-10-02 17:19:52,קוליפורם צואתי,160,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-10-03 13:53:07,E.coli MUG,460,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-10-03 13:53:07,קוליפורם צואתי,460,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-10-15 14:17:45,E.coli MUG,100,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-10-15 14:17:45,קוליפורם צואתי,1120,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-10-16 16:17:25,E.coli MUG,60,זוויתן לפני מפל,זוויתן,,
NS00000706,2019-10-16 16:17:25,קוליפורם צואתי,220,זוויתן לפני מפל,זוויתן,,
NS00001908,2019-07-15 18:05:40,E.coli MUG,250,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-07-15 18:05:40,קוליפורם צואתי,800,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-08-19 00:00:00,E.coli MUG,480,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-08-19 00:00:00,קוליפורם צואתי,530,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-09-04 17:10:16,E.coli MUG,2400,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-09-04 17:10:16,קוליפורם צואתי,2400,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-09-05 15:54:15,E.coli MUG,710,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-09-05 15:54:15,קוליפורם צואתי,820,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-09-18 16:44:05,E.coli MUG,2340,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-09-18 16:44:05,קוליפורם צואתי,2600,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-09-24 17:02:13,E.coli MUG,550,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-09-24 17:02:13,קוליפורם צואתי,800,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-10-03 13:53:07,E.coli MUG,200,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-10-03 13:53:07,קוליפורם צואתי,460,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-10-15 14:17:45,E.coli MUG,1050,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-10-15 14:17:45,קוליפורם צואתי,1070,ירדן גשר להבות הבשן,ירדן,,
