,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר
NS00001977,2026-06-14 14:53:13,קוליפורם צואתי,550,חצבאני טיילת מפגש הנחלים,חצבני
NS00001977,2026-06-22 13:30:36,E.coli MUG,2500,חצבאני טיילת מפגש הנחלים,חצבני
NS00001977,2026-06-22 13:30:36,קוליפורם צואתי,2500,חצבאני טיילת מפגש הנחלים,חצבני
NS00001900,2026-04-14 13:20:42,E.coli MUG,270,ירדן גשר הדודות,ירדן
NS00001900,2026-04-14 13:20:42,קוליפורם צואתי,270,ירדן גשר הדודות,ירדן
NS00001900,2026-04-26 13:51:20,E.coli MUG,430,ירדן גשר הדודות,ירדן
NS00001900,2026-04-26 13:51:20,קוליפורם צואתי,500,ירדן גשר הדודות,ירדן
NS00001900,2026-05-12 13:25:09,E.coli MUG,240,ירדן גשר הדודות,ירדן
NS00001900,2026-05-12 13:25:09,קוליפורם צואתי,240,ירדן גשר הדודות,ירדן
NS00001900,2026-05-25 14:06:21,E.coli MUG,180,ירדן גשר הדודות,ירדן
NS00001900,2026-05-25 14:06:21,קוליפורם צואתי,250,ירדן גשר הדודות,ירדן
NS00001900,2026-06-14 14:53:13,E.coli MUG,120,ירדן גשר הדודות,ירדן
NS00001900,2026-06-14 14:53:13,קוליפורם צואתי,120,ירדן גשר הדודות,ירדן
NS00001900,2026-06-22 13:30:36,E.coli MUG,270,ירדן גשר הדודות,ירדן
NS00001900,2026-06-22 13:30:36,קוליפורם צואתי,270,ירדן גשר הדודות,ירדן
NS00001827,2026-04-14 13:20:42,E.coli MUG,100,אל על מפל שחור,אל על
NS00001827,2026-04-14 13:20:42,קוליפורם צואתי,100,אל על מפל שחור,אל על
NS00001827,2026-05-12 13:25:09,E.coli MUG,180,אל על מפל שחור,אל על
NS00001827,2026-05-12 13:25:09,קוליפורם צואתי,280,אל על מפל שחור,אל על
NS00001827,2026-05-25 14:06:21,E.coli MUG,160,אל על מפל שחור,אל על
NS00001827,2026-05-25 14:06:21,קוליפורם צואתי,200,אל על מפל שחור,אל על
NS00001827,2026-06-14 14:53:13,E.coli MUG,400,אל על מפל שחור,אל על
NS00001827,2026-06-14 14:53:13,קוליפורם צואתי,1200,אל על מפל שחור,אל על
NS00002043,2026-04-26 13:51:20,E.coli MUG,300,אל על בריכת המפל,אל על
NS00002043,2026-04-26 13:51:20,קוליפורם צואתי,330,אל על בריכת המפל,אל על
NS00002043,2026-06-22 13:30:36,E.coli MUG,360,אל על בריכת המפל,אל על
NS00002043,2026-06-22 13:30:36,קוליפורם צואתי,360,אל על בריכת המפל,אל על
NS00000712,2026-04-14 13:20:42,E.coli MUG,70, זאכי,יהודיה
NS00000712,2026-04-14 13:20:42,קוליפורם צואתי,70, זאכי,יהודיה
NS00000712,2026-04-26 13:51:20,E.coli MUG,600, זאכי,יהודיה
NS00000712,2026-04-26 13:51:20,קוליפורם צואתי,850, זאכי,יהודיה
NS00000712,2026-05-12 13:25:09,E.coli MUG,700, זאכי,יהודיה
NS00000712,2026-05-12 13:25:09,קוליפורם צואתי,950, זאכי,יהודיה
NS00000712,2026-05-25 14:06:21,E.coli MUG,440, זאכי,יהודיה
NS00000712,2026-05-25 14:06:21,קוליפורם צואתי,1000, זאכי,יהודיה
NS00000712,2026-06-14 14:53:13,E.coli MUG,400, זאכי,יהודיה
NS00000712,2026-06-14 14:53:13,קוליפורם צואתי,1800, זאכי,יהודיה
