,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר,,,,,,
NS00000709,2024-08-19 15:41:44,קוליפורם צואתי,1600,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-09-09 15:47:43,E.coli MUG,600,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-09-09 15:47:43,קוליפורם צואתי,750,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-09-16 14:33:47,E.coli MUG,500,ירדן גשר חורי,ירדן,,,,,,
NS00000709,2024-09-16 14:33:47,קוליפורם צואתי,1200,ירדן גשר חורי,ירדן,,,,,,
NS00000710,2024-03-04 11:56:22,E.coli MUG,1000,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-03-04 11:56:22,קוליפורם צואתי,1100,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-04-08 15:21:00,E.coli MUG,140,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-04-08 15:21:00,קוליפורם צואתי,190,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-04-15 14:43:30,E.coli MUG,130,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-04-15 14:43:30,קוליפורם צואתי,180,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-05-01 15:43:21,E.coli MUG,800,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-05-01 15:43:21,קוליפורם צואתי,850,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-05-12 14:06:20,E.coli MUG,210,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-05-12 14:06:20,קוליפורם צואתי,260,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-05-27 13:54:35,E.coli MUG,300,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-05-27 13:54:35,קוליפורם צואתי,370,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-06-09 15:02:25,E.coli MUG,470,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-06-09 15:02:25,קוליפורם צואתי,1120,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-06-24 16:13:59,E.coli MUG,600,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-06-24 16:13:59,קוליפורם צואתי,700,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-07-08 14:16:27,E.coli MUG,550,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-07-08 14:16:27,קוליפורם צואתי,600,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-07-22 14:26:47,E.coli MUG,1100,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-07-22 14:26:47,קוליפורם צואתי,1200,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-08-05 12:03:23,E.coli MUG,1370,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-08-05 12:03:23,קוליפורם צואתי,1370,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-08-19 15:41:44,E.coli MUG,1400,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-08-19 15:41:44,קוליפורם צואתי,1400,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-09-09 15:47:43,E.coli MUG,550,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-09-09 15:47:43,קוליפורם צואתי,900,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-09-16 14:33:47,E.coli MUG,700,ירדן מיצד עטרת,ירדן,,,,,,
NS00000710,2024-09-16 14:33:47,קוליפורם צואתי,1600,ירדן מיצד עטרת,ירדן,,,,,,
NS00001867,2024-03-04 11:56:22,E.coli MUG,1500,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-03-04 11:56:22,קוליפורם צואתי,1700,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-04-08 15:21:00,E.coli MUG,110,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-04-08 15:21:00,קוליפורם צואתי,200,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-04-15 14:43:30,E.coli MUG,220,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-04-15 14:43:30,קוליפורם צואתי,310,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-05-01 15:43:21,E.coli MUG,700,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-05-01 15:43:21,קוליפורם צואתי,700,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-05-12 14:06:20,E.coli MUG,160,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-05-12 14:06:20,קוליפורם צואתי,310,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-05-27 13:54:35,E.coli MUG,300,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-05-27 13:54:35,קוליפורם צואתי,300,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-06-09 15:02:25,E.coli MUG,340,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-06-09 15:02:25,קוליפורם צואתי,650,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-06-24 16:13:59,E.coli MUG,600,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-06-24 16:13:59,קוליפורם צואתי,600,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-07-08 14:16:27,E.coli MUG,400,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-07-08 14:16:27,קוליפורם צואתי,430,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-07-22 14:26:47,E.coli MUG,800,ירדן גשר החמישה,ירדן,,,,,,
